model_id,stage,sample_scope,analysis_panel,dependent_variable,focal_variable,controls,weight_variable,fixed_effects,cluster_level,role,notes,sample_filter,filter_notes
yrp2017_headroom,policy_exposure_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_main,"Differential headroom changes after the 2017 year-round Pell restoration by pre-2017 Pell intensity.",yrp_2017_window,"Uses 2014-2023 rows. Exposure is the 2014-2016 mean Pell share of FTFT grant dollars, standardized within pre-period sector."
yrp2017_headroom_share,policy_exposure_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN_SHARE_COA,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_main,"Differential headroom-share changes after the 2017 year-round Pell restoration by pre-2017 Pell intensity.",yrp_2017_window,"Uses 2014-2023 rows. Exposure is the 2014-2016 mean Pell share of FTFT grant dollars, standardized within pre-period sector."
yrp2017_inst_grant,policy_exposure_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_main,"Differential institutional-grant changes after the 2017 year-round Pell restoration by pre-2017 Pell intensity.",yrp_2017_window,"Uses 2014-2023 rows. Exposure is the 2014-2016 mean Pell share of FTFT grant dollars, standardized within pre-period sector."
yrp2017_pell,policy_exposure_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,PGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_check,"Differential Pell-grant changes after the 2017 year-round Pell restoration by pre-2017 Pell intensity.",yrp_2017_window,"Uses 2014-2023 rows. Exposure is the 2014-2016 mean Pell share of FTFT grant dollars, standardized within pre-period sector."
yrp2017_federal_loan,policy_exposure_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,FLOAN_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_check,"Differential federal-loan changes after the 2017 year-round Pell restoration by pre-2017 Pell intensity.",yrp_2017_window,"Uses 2014-2023 rows. Exposure is the 2014-2016 mean Pell share of FTFT grant dollars, standardized within pre-period sector."
public_yrp2017_headroom,policy_exposure_sector,public,policy_exposure_panel_public.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_sector,"Public-sector differential headroom changes after the 2017 year-round Pell restoration.",yrp_2017_window,"Uses the public-sector policy exposure panel. The raw public appropriations control is excluded from this policy model because it prevents stable absorption in the 2014-2023 event window."
private_np_yrp2017_headroom,policy_exposure_sector,private_nonprofit,policy_exposure_panel_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_sector,"Private nonprofit differential headroom changes after the 2017 year-round Pell restoration.",yrp_2017_window,"Uses the private nonprofit policy exposure panel."
yrp2017_event_headroom,policy_event_study,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2014,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2015;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2017;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2018;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2019;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2020;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2021;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2022;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2023;OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_event_study,"Event-study headroom coefficients by pre-2017 Pell exposure, omitting 2016.",yrp_2017_window,"Uses 2014-2023 rows. Event-study interactions are exposure times year indicators; 2016 is the omitted reference year."
yrp2017_event_inst_grant,policy_event_study,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2014,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2015;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2017;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2018;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2019;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2020;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2021;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2022;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2023;OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_event_study,"Event-study institutional-grant coefficients by pre-2017 Pell exposure, omitting 2016.",yrp_2017_window,"Uses 2014-2023 rows. Event-study interactions are exposure times year indicators; 2016 is the omitted reference year."
yrp2017_headroom_pell_dollars_exposure,policy_exposure_alt,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_PER_FTFT_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_alt_exposure,"Headroom response using pre-2017 Pell dollars per FTFT student as the exposure measure.",yrp_2017_window,"Alternative exposure definition. Uses 2014-2023 rows."
yrp2017_inst_grant_pell_dollars_exposure,policy_exposure_alt,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_PER_FTFT_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_alt_exposure,"Institutional-grant response using pre-2017 Pell dollars per FTFT student as the exposure measure.",yrp_2017_window,"Alternative exposure definition. Uses 2014-2023 rows."
